uniprot	degree	degree_centrality	betweenness	closeness	eigenvector	cc
Q9Y217	9	0.000701043776289	4.44839604616e-05	0.270029380983	0.00579669376734	0.0952380952381
Q12840	15	0.00116840629382	0.000155606794988	0.287248777154	0.00791376746299	0.0380952380952
Q12841	17	0.00132419379966	0.000493771096478	0.279720998363	0.00455045606956	0.102941176471
P18085	3	0.000233681258763	9.06933400518e-06	0.268180692273	0.00315607568043	0.0
P18084	26	0.00202523757595	0.000787613715364	0.294409889027	0.0134252516506	0.0184615384615
P28749	29	0.00225891883471	0.000686551535603	0.289958736831	0.00784035613502	0.0246305418719
Q8N543	3	0.000233681258763	0.0	0.230657998765	0.000326456428026	0.0
P25929	4	0.000311575011684	0.000455044665505	0.223910563986	0.000162495585818	0.0
Q8N2Z9	5	0.000389468764605	5.84474062145e-07	0.236356907794	0.000624317126994	0.333333333333
Q5VU92	1	7.7893752921e-05	0.0	0.231531247645	0.000492955030313	0.0
P18089	1	7.7893752921e-05	0.0	0.175194086757	2.28772059577e-06	0.0
P09651	25	0.00194734382303	0.000665973067144	0.298590180895	0.00966639125454	0.0276679841897
Q6P5X5	6	0.000467362517526	3.76268200453e-05	0.265225565824	0.00418399967155	0.133333333333
Q9H7T3	1	7.7893752921e-05	0.0	7.7893752921e-05	3.90669309562e-40	0.0
P04229	12	0.000934725035052	2.4955146367e-05	0.239287010597	0.000577579815705	0.377777777778
P04222	3	0.000233681258763	8.55829527767e-05	0.238430255243	0.00049688903481	0.0
Q9NYW8	1	7.7893752921e-05	0.0	0.250352016998	0.0015465277529	0.0
Q9H7T9	2	0.000155787505842	7.62413550597e-07	0.265760686026	0.0039728827979	0.0
Q6ZMK1	3	0.000233681258763	2.68513185468e-06	0.235970711299	0.000447367223716	0.0
P68104	122	0.00950303785636	0.00654049337818	0.331680572839	0.037371351494	0.00948380978187
P68106	10	0.00077893752921	0.000107239872981	0.269768060267	0.00721965919682	0.0
Q05996	2	0.000155787505842	1.08098470546e-07	0.249622112535	0.00247550741288	0.0
Q15070	1	7.7893752921e-05	0.0	0.227925541393	0.000333345053309	0.0
P02689	3	0.000233681258763	0.0	0.227990570078	0.000467574312157	0.0
O43837	5	0.000389468764605	2.30026723193e-05	0.257101887989	0.00180196419029	0.0
Q13822	1	7.7893752921e-05	0.0	0.252988691892	0.00148682989507	0.0
P08651	6	0.000467362517526	0.000197783399167	0.267779286952	0.00292892282669	0.0
Q8N2K1	2	0.000155787505842	1.15554833475e-05	0.241587476254	0.000892990454696	0.0
Q8WVL7	2	0.000155787505842	3.57774026822e-07	0.235289812772	0.000558584328601	0.0
Q14192	76	0.005919925222	0.00252324287439	0.314890038928	0.0225876001482	0.0185116623473
Q05195	8	0.000623150023368	8.78394958115e-06	0.262174195578	0.00228541382796	0.0666666666667
Q14190	21	0.00163576881134	0.000195689461608	0.292491745488	0.0135066605433	0.152380952381
Q14191	13	0.00101261878797	6.36064546135e-05	0.275598469221	0.00495701839637	0.163636363636
Q14197	5	0.000389468764605	4.68506462308e-05	0.261299767223	0.00344296915518	0.3
Q14194	77	0.00599781897492	0.0019423944129	0.314386241295	0.0248163113334	0.00828828828829
P46098	4	0.000311575011684	7.28149127563e-08	0.000311575011684	6.5543433911e-33	0.0
P60484	37	0.00288206885808	0.000668099500254	0.293652569192	0.00988857849704	0.0151260504202
P46721	4	0.000311575011684	2.86928780203e-06	0.217744268231	0.000148570404322	0.333333333333
P46092	4	0.000311575011684	1.19484281621e-06	0.271024582763	0.00619884682686	0.166666666667
P35227	24	0.0018694500701	0.000341409364751	0.28439319118	0.00769014338936	0.108695652174
O60683	9	0.000701043776289	8.48637401681e-05	0.264499850431	0.00268998346439	0.0952380952381
O60682	3	0.000233681258763	9.11856637253e-06	0.257848521562	0.00231182000655	0.333333333333
O60687	4	0.000311575011684	4.41005538172e-06	0.231383758433	0.000346710238066	0.0
O60684	11	0.000856831282131	6.1577476787e-05	0.275364213688	0.0038212869901	0.0363636363636
Q8TEU8	6	0.000467362517526	2.61293593333e-05	0.237683254781	0.000568144733425	0.0
P61296	6	0.000467362517526	1.72081401196e-05	0.266694943194	0.00318612419209	0.0666666666667
Q8TB96	8	0.000623150023368	1.2706284831e-05	0.263580882704	0.00238143638281	0.0
Q9P242	2	0.000155787505842	3.48043975169e-07	0.212600064239	0.000137103469956	0.0
Q96JD1	2	0.000155787505842	0.0	0.0	3.90669309562e-40	0.0
P35348	3	0.000233681258763	1.34624576005e-06	0.23658082781	0.000605551325771	0.0
Q9H040	1	7.7893752921e-05	0.0	0.233916910053	0.000559694263814	0.0
O75312	2	0.000155787505842	7.34484233696e-07	0.232190535833	0.000321335030833	0.0
O75311	2	0.000155787505842	0.0	0.0	3.90669309562e-40	0.0
O75317	17	0.00132419379966	0.00010726953913	0.257272954473	0.00184379067849	0.0666666666667
O75643	34	0.00264838759931	0.000961790766738	0.315312487751	0.0241225847469	0.120967741935
O75319	4	0.000311575011684	6.03741305034e-07	0.236851964548	0.000563988176894	0.0
Q8WV92	7	0.000545256270447	5.48316526175e-06	0.232267022339	0.000443325380421	0.0
Q05329	7	0.000545256270447	2.59668788015e-05	0.237382002611	0.000658378135848	0.0
Q5HYK9	2	0.000155787505842	6.3971867488e-06	0.256705448705	0.00155841320927	0.0
O14653	8	0.000623150023368	0.000100408712732	0.274783462974	0.00437618060155	0.142857142857
P23458	11	0.000856831282131	0.000278012680125	0.271472668883	0.00481601064856	0.0555555555556
Q8IVL0	1	7.7893752921e-05	0.0	0.240883507603	0.000754902370713	0.0
Q8IVL1	9	0.000701043776289	0.000176246512073	0.262254500981	0.00247936997031	0.0277777777778
O95239	3	0.000233681258763	4.56353623702e-07	0.226933059861	0.000441290882161	0.0
Q13085	11	0.000856831282131	0.000113542674787	0.289643442438	0.00732950527037	0.0555555555556
Q13084	19	0.0014799813055	0.000560559398959	0.29456182198	0.0104856109299	0.046783625731
Q13087	9	0.000701043776289	2.51567341099e-05	0.285184845039	0.0137333791653	0.333333333333
O43765	101	0.00786726904502	0.0048926689794	0.30931575717	0.0211365265528	0.00783343640486
Q02978	2	0.000155787505842	6.35504798145e-06	0.253239900742	0.00141291519466	0.0
O43763	10	0.00077893752921	3.97653621121e-05	0.244889456388	0.000952028890399	0.0357142857143
O43760	2	0.000155787505842	2.82658080915e-06	0.221494248052	0.000157493778155	0.0
Q2M2I8	1	7.7893752921e-05	0.0	0.216321745174	9.66734518379e-05	0.0
O43768	9	0.000701043776289	4.77456661281e-05	0.268132700023	0.0026904991314	0.0833333333333
Q9UM01	1	7.7893752921e-05	0.0	0.225987523271	0.000239363020926	0.0
O94822	6	0.000467362517526	2.05198230169e-05	0.254936497125	0.00181357880134	0.0
Q14738	17	0.00132419379966	0.000193461449912	0.270553544191	0.00442171259718	0.110294117647
Q14739	6	0.000467362517526	4.57582644652e-05	0.272658300847	0.00371429373658	0.133333333333
Q13332	23	0.00179155631718	0.000185405615365	0.288548764398	0.00840456491866	0.0619047619048
Q13330	26	0.00202523757595	0.000452431323839	0.296845077312	0.0152238249883	0.0289855072464
Q9Y5V0	2	0.000155787505842	2.82113063865e-06	0.267743398822	0.00347909905935	0.0
Q5TC82	4	0.000311575011684	0.0	0.236538810495	0.000660849648016	1.0
P54315	1	7.7893752921e-05	0.0	0.226791368926	0.000200828535102	0.0
Q9Y5V3	76	0.005919925222	0.00192998537469	0.31011601526	0.0224034916817	0.020733061829
Q8IXX5	1	7.7893752921e-05	0.0	0.224396806669	0.000208907531048	0.0
Q99741	24	0.0018694500701	0.000235369855171	0.285239136231	0.0092074841603	0.192028985507
Q99743	16	0.00124630004674	0.000212682343808	0.279336399101	0.00591008862224	0.05
O94826	2	0.000155787505842	2.86175813861e-06	0.258437813368	0.00185702867173	0.0
P45381	3	0.000233681258763	0.0	0.216068285778	0.000171239174642	0.0
Q8IUX1	1	7.7893752921e-05	0.0	0.227747985443	0.000400641578189	0.0
Q8IUX4	2	0.000155787505842	0.0	0.238359135815	0.000788656530666	1.0
O43491	8	0.000623150023368	0.000203581693332	0.291191434794	0.00825140950845	0.142857142857
O43490	2	0.000155787505842	5.32347279752e-06	0.242550521497	0.000653806685083	0.0
O43493	11	0.000856831282131	0.000104728676509	0.286555204921	0.0140671464612	0.163636363636
Q02928	1	7.7893752921e-05	0.0	0.188762448179	1.05284119438e-05	0.0
O43497	2	0.000155787505842	1.68604795081e-06	0.257013684589	0.0013736447457	0.0
Q6IN85	5	0.000389468764605	3.67571470061e-05	0.260810814462	0.00187581822692	0.0
Q9BZ67	3	0.000233681258763	2.07463836673e-05	0.252994031572	0.00141314374421	0.0
Q8WTX7	3	0.000233681258763	0.0	0.195578322377	2.08848110891e-05	0.0
Q96PV7	7	0.000545256270447	1.7215535834e-05	0.274714189303	0.00785078261042	0.047619047619
Q149N8	8	0.000623150023368	2.7092273626e-05	0.248354968959	0.00114956215475	0.0
Q9ULS6	1	7.7893752921e-05	0.0	0.219852978152	0.000139948501524	0.0
Q15486	6	0.000467362517526	1.13662988822e-05	0.275269358637	0.00503065524683	0.0666666666667
Q15485	5	0.000389468764605	5.94899523186e-06	0.22657702251	0.000226171150688	0.0
O15553	6	0.000467362517526	7.35917441563e-06	0.236720993401	0.000524625313713	0.0
O15552	2	0.000155787505842	7.60915232604e-07	0.238819792828	0.000661744474604	0.0
O15550	8	0.000623150023368	5.72093227028e-05	0.257781978577	0.00186957788844	0.107142857143
Q8IWF2	3	0.000233681258763	2.17638099406e-06	0.21739280028	9.68734445788e-05	0.333333333333
O15554	3	0.000233681258763	3.46795650751e-06	0.245179983674	0.00085838979282	0.0
Q9Y4W6	5	0.000389468764605	1.24772245692e-05	0.25315967352	0.00157602987162	0.0
Q6P444	5	0.000389468764605	1.206996302e-05	0.258940273959	0.00477438956161	0.0
P45954	3	0.000233681258763	0.0	0.22481346303	0.000256795347712	0.0
Q9NU19	18	0.00140208755258	5.56100454875e-05	0.286219924588	0.0150794365345	0.0588235294118
Q9UBU3	1	7.7893752921e-05	0.0	0.242011835931	0.000609648730731	0.0
Q9NZ63	4	0.000311575011684	7.47939385954e-06	0.250435706534	0.00117608413617	0.166666666667
Q9HCI7	5	0.000389468764605	6.70085997953e-06	0.262283193406	0.00252159962538	0.3
Q16594	37	0.00288206885808	0.000995381462607	0.29949289713	0.0105560756168	0.0105105105105
Q16595	8	0.000623150023368	2.53551286481e-05	0.249684508964	0.00101230392864	0.0666666666667
Q712K3	12	0.000934725035052	5.95153322068e-05	0.270102398077	0.00300813105389	0.0
Q7Z794	1	7.7893752921e-05	0.0	0.222687577272	0.000188377595197	0.0
Q8WXG9	1	7.7893752921e-05	0.0	0.203166226916	5.72058264643e-05	0.0
Q8WXG8	1	7.7893752921e-05	0.0	0.200394620444	4.54604470723e-05	0.0
